id,name,is_Male,is_Female
9279,Arnold Schwarzenegger,1,0
1487,Ron Perlman,1,0
9422,John Travolta,1,0
77174,Kodi Smit-McPhee,1,0
4824,Bruce Willis,1,0
9620,Ben Affleck,1,0
9302,Robert Redford,1,0
10199,Matthew Broderick,1,0
10771,Jackie Chan,1,0
3512,Steven Seagal,1,0
137094,Chris Pine,1,0
274479,Jennifer Lawrence,0,1
267860,Gerard Butler,1,0
8078,Sigourney Weaver,0,1
7485,Mark Wahlberg,1,0
170687,Ben Kingsley,1,0
6435,Sandra Bullock,0,1
137106,Chris Pratt,1,0
10040,Sandra Bullock,0,1
6278,Christian Bale,1,0
82682,Josh Brolin,1,0
17610,Jack Black,1,0
22954,Morgan Freeman,1,0
16995,Russell Crowe,1,0
16558,Clive Owen,1,0
9849,Jeff Daniels,1,0
5820,Michael Douglas,1,0
16866,Dwayne Johnson,1,0
201,Patrick Stewart,1,0
11775,George Clooney,1,0
87825,Clint Eastwood,1,0
12201,Mel Gibson,1,0
11015,Penelope Ann Miller,0,1
9932,Robert De Niro,1,0
13389,Robert De Niro,1,0
8838,Bruce Willis,1,0
17332,Robert Downey Jr.,1,0
4958,Matt Damon,1,0
786,Kate Hudson,0,1
9513,Bill Murray,1,0
11679,Ice Cube,1,0
38321,Paul Bettany,1,0
14411,Brad Pitt,1,0
8413,Laurence Fishburne,1,0
10052,Kevin Costner,1,0
9676,Josh Hartnett,1,0
9664,James Franco,1,0
2100,Robert Redford,1,0
10384,James Spader,1,0
137321,Colin Farrell,1,0
123553,Lily Collins,0,1
11260,Eddie Murphy,1,0
9009,Jennifer Connelly,0,1
11374,Matthew McConaughey,1,0
2309,Brendan Fraser,1,0
8285,Gabriel Macht,1,0
210860,Johnny Depp,1,0
2312,Jason Statham,1,0
9839,Angelina Jolie,0,1
381902,Aaron Kwok,1,0
13922,Benjamin Bratt,1,0
293660,Ryan Reynolds,1,0
9713,Eddie Murphy,1,0
190859,Bradley Cooper,1,0
257445,Jack Black,1,0
9007,Reese Witherspoon,0,1
889,Mark Addy,1,0
1370,Sylvester Stallone,1,0
4942,George Clooney,1,0
347969,Adam Sandler,1,0
24438,Hugh Grant,1,0
116741,Owen Wilson,1,0
35791,Milla Jovovich,0,1
72431,Bryan Cranston,1,0
1813,Keanu Reeves,1,0
87428,Adam Sandler,1,0
8840,Dennis Quaid,1,0
10589,Pierce Brosnan,1,0
71676,Nicolas Cage,1,0
1722,Nicolas Cage,1,0
10022,Vin Diesel,1,0
11358,Dwayne Johnson,1,0
13,Tom Hanks,1,0
6477,Jason Lee,1,0
1597,Ben Stiller,1,0
10530,Irene Bedard,0,1
1924,Christopher Reeve,1,0
9327,Eddie Murphy,1,0
8488,Will Smith,1,0
10603,Brendan Fraser,1,0
8273,Jason Biggs,1,0
109424,Tom Hanks,1,0
35056,Tina Fey,0,1
8839,Christina Ricci,0,1
156022,Denzel Washington,1,0
7303,Jennifer Lopez,0,1
8963,Denzel Washington,1,0
1402,Will Smith,1,0
9315,Jodie Foster,0,1
8984,Michael Douglas,1,0
795,Nicolas Cage,1,0
24,Uma Thurman,0,1
11353,Steve Martin,1,0
393,Uma Thurman,0,1
9618,Sylvester Stallone,1,0
9374,Meryl Streep,0,1
8584,Jackie Chan,1,0
2320,Kurt Russell,1,0
58224,Jim Carrey,1,0
1729,Jackie Chan,1,0
175574,Owen Wilson,1,0
8077,Sigourney Weaver,0,1
8818,Madonna,0,1
8195,Robert De Niro,1,0
10586,Michael Douglas,1,0
116149,Nicole Kidman,0,1
80035,Ben Stiller,1,0
10632,Tommy Lee Jones,1,0
12117,Anthony Hopkins,1,0
1792,Matt Damon,1,0
13260,Will Ferrell,1,0
72197,Hugh Grant,1,0
3580,Angelina Jolie,0,1
12123,Keanu Reeves,1,0
9566,Robert De Niro,1,0
9833,Gerard Butler,1,0
4517,Cate Blanchett,0,1
8202,Charlize Theron,0,1
16072,Stephen Lang,1,0
34314,Ray Liotta,1,0
19724,Eddie Murphy,1,0
145220,Ricky Gervais,1,0
14623,Brady Corbet,1,0
42297,Cher,0,1
2841,Audrey Tautou,0,1
802,James Mason,1,0
10375,Sylvester Stallone,1,0
36586,Wesley Snipes,1,0
11321,Will Smith,1,0
70074,Sylvester Stallone,1,0
242,Al Pacino,1,0
9621,Orlando Bloom,1,0
1819,Kate Hudson,0,1
8536,Gene Hackman,1,0
8046,Ben Affleck,1,0
1717,Sean Penn,1,0
479,Samuel L. Jackson,1,0
9444,Meg Ryan,0,1
824,Nicole Kidman,0,1
11456,John Travolta,1,0
261023,Johnny Depp,1,0
3683,Ryan Phillippe,1,0
22803,Jamie Foxx,1,0
285923,Kurt Russell,1,0
39437,Oprah Winfrey,0,1
1950,Eric Bana,1,0
640,Leonardo DiCaprio,1,0
97630,Jessica Chastain,0,1
9767,Vince Vaughn,1,0
11631,Meryl Streep,0,1
32856,Jessica Alba,0,1
6519,Johnny Knoxville,1,0
8741,Sean Penn,1,0
49520,Olivia Wilde,0,1
1850,Jim Carrey,1,0
524,Robert De Niro,1,0
26389,John Travolta,1,0
11817,Seann William Scott,1,0
2123,Jim Carrey,1,0
9907,Courteney Cox,0,1
9969,Danny DeVito,1,0
18239,Kristen Stewart,0,1
808,Mike Myers,1,0
38050,Matt Damon,1,0
8367,Kevin Costner,1,0
9390,Tom Cruise,1,0
72105,Mark Wahlberg,1,0
2898,Jack Nicholson,1,0
10312,Robin Williams,1,0
109443,Will Ferrell,1,0
